Sample_ID,Nitrate,R7A,Start_Date_on_1/4B&D,Priority
Gifu 1-1,no,no,2022:03:27,Yes
Gifu 1-2,no,no,2022:03:27,Yes
Gifu 1-3,no,no,2022:03:27,Yes
Gifu 1-4,no,no,2022:03:27,Yes
Gifu 1-5,no,no,2022:03:27,Yes
Gifu 1-6,no,no,2022:03:27,Yes
Gifu 2-1,no,yes,2022:03:27,Yes
Gifu 2-2,no,yes,2022:03:27,Yes
Gifu 2-3,no,yes,2022:03:27,Yes
Gifu 2-4,no,yes,2022:03:27,Yes
Gifu 2-5,no,yes,2022:03:27,Yes
Gifu 2-6,no,yes,2022:03:27,Yes
Gifu 3-1,yes,no,2022:03:27,Yes
Gifu 3-2,yes,no,2022:03:27,Yes
Gifu 3-3,yes,no,2022:03:27,Yes
Gifu 3-4,yes,no,2022:03:27,Yes
Gifu 3-5,yes,no,2022:03:27,Yes
Gifu 3-6,yes,no,2022:03:27,Yes
Gifu 4-1,yes,yes,2022:03:27,Yes
Gifu 4-2,yes,yes,2022:03:27,Yes
Gifu 4-3,yes,yes,2022:03:27,Yes
Gifu 4-4,yes,yes,2022:03:27,Yes
Gifu 4-5,yes,yes,2022:03:27,Yes
Gifu 4-6,yes,yes,2022:03:27,Yes
nfr5 1-1,no,no,2022:03:27,
nfr5 1-2,no,no,2022:03:27,
nfr5 1-3,no,no,2022:03:27,
nfr5 1-4,no,no,2022:03:27,
nfr5 1-5,no,no,2022:03:27,
nfr5 1-6,no,no,2022:03:27,
nfr5 2-1,no,yes,2022:03:27,
nfr5 2-2,no,yes,2022:03:27,
nfr5 2-3,no,yes,2022:03:27,
nfr5 2-4,no,yes,2022:03:27,
nfr5 2-5,no,yes,2022:03:27,
nfr5 2-6,no,yes,2022:03:27,
nfr5 3-1,yes,no,2022:03:27,
nfr5 3-2,yes,no,2022:03:27,
nfr5 3-3,yes,no,2022:03:27,
nfr5 3-4,yes,no,2022:03:27,
nfr5 3-5,yes,no,2022:03:27,
nfr5 3-6,yes,no,2022:03:27,
nfr5 4-1,yes,yes,2022:03:27,
nfr5 4-2,yes,yes,2022:03:27,
nfr5 4-3,yes,yes,2022:03:27,
nfr5 4-4,yes,yes,2022:03:27,
nfr5 4-5,yes,yes,2022:03:27,
nfr5 4-6,yes,yes,2022:03:27,
C1-1-1,no,no,2022:03:27,
C1-1-2,no,no,2022:03:27,
C1-1-3,no,no,2022:03:27,
C1-1-4,no,no,2022:03:27,
C1-1-5,no,no,2022:03:27,
C1-2-1,no,yes,2022:03:27,
C1-2-2,no,yes,2022:03:27,
C1-2-3,no,yes,2022:03:27,
C1-2-4,no,yes,2022:03:27,
C1-2-5,no,yes,2022:03:27,
C1-3-1,yes,no,2022:03:27,
C1-3-2,yes,no,2022:03:27,
C1-3-3,yes,no,2022:03:27,
C1-3-4,yes,no,2022:03:27,
C1-3-5,yes,no,2022:03:27,
C1-4-1,yes,yes,2022:03:27,
C1-4-2,yes,yes,2022:03:27,
C1-4-3,yes,yes,2022:03:27,
C1-4-4,yes,yes,2022:03:27,
C1-4-5,yes,yes,2022:03:27,
C2-1-1,no,no,2022:04:25,yes
C2-1-2,no,no,2022:04:25,yes
C2-1-3,no,no,2022:04:25,yes
C2-1-4,no,no,2022:04:25,yes
C2-1-5,no,no,2022:04:25,yes
C2-2-1,no,yes,2022:04:25,yes
C2-2-2,no,yes,2022:04:25,yes
C2-2-3,no,yes,2022:04:25,yes
C2-2-4,no,yes,2022:04:25,yes
C2-2-5,no,yes,2022:04:25,yes
C2-3-1,yes,no,2022:04:25,yes
C2-3-2,yes,no,2022:04:25,yes
C2-3-3,yes,no,2022:04:25,yes
C2-3-4,yes,no,2022:04:25,yes
C2-3-5,yes,no,2022:04:25,yes
C2-4-1,yes,yes,2022:04:25,yes
C2-4-2,yes,yes,2022:04:25,yes
C2-4-3,yes,yes,2022:04:25,yes
C2-4-4,yes,yes,2022:04:25,yes
C2-4-5,yes,yes,2022:04:25,yes
